Title,Views,Upload,Video Link,Thumbnail Link
DEVELOPMENT in 45 mins || Class - 10th Boards,2.7K views,4 hours ago,https://www.youtube.com/watch?v=PXcgTSs-_p8,https://i.ytimg.com/vi/PXcgTSs-_p8/hqdefault.jpg
REAL NUMBERS in 60 mins || Class - 10th Boards,7.2K views,1 day ago,https://www.youtube.com/watch?v=JGJv4jlf8aQ,https://i.ytimg.com/vi/JGJv4jlf8aQ/hqdefault.jpg
RESOURCES AND DEVELOPMENT in 45 mins || Class - 10th Boards,10K views,2 days ago,https://www.youtube.com/watch?v=0dMJLkO-SSw,https://i.ytimg.com/vi/0dMJLkO-SSw/hqdefault.jpg
LIGHT REFLECTION AND REFRACTION in 35 mins || Class - 10th Boards,23K views,3 days ago,https://www.youtube.com/watch?v=0CW4VbfH4kk,https://i.ytimg.com/vi/0CW4VbfH4kk/hqdefault.jpg
THE RISE OF NATIONALISM IN EUROPE in 50 mins || Class - 10th Boards 💯,56K views,5 days ago,https://www.youtube.com/watch?v=gs2Ss52phYg,https://i.ytimg.com/vi/gs2Ss52phYg/hqdefault.jpg
